Sampling Method,Logistic Regression,Decision Tree,Gradient Boosting,SVM,k-NN
Random,0.9180327868852459,0.9016393442622951,0.9344262295081968,0.7213114754098361,0.6557377049180327
Stratified,0.9516129032258065,0.9193548387096774,0.967741935483871,0.7258064516129032,0.7419354838709677
Systematic,0.7419354838709677,0.8870967741935484,0.9516129032258065,0.6774193548387096,0.7258064516129032
Cluster,0.8360655737704918,0.8688524590163934,0.8852459016393442,0.6557377049180327,0.7049180327868853
Bootstrap,0.9508196721311475,0.9672131147540983,0.9672131147540983,0.639344262295082,0.7540983606557377
